192	HV	SRX3056725	unknown
193	ZM	SRX1528708	ovary
194	ZM	SRX711178	leaf
195	ZM	SRX3599902	unknown
196	ZM	SRX711196	stem
197	ZM	SRX711002	ear
198	ZM	SRX711075	leaf
200	ZM	SRX711333	stem
201	ZM	SRX710895	unknown
202	ZM	SRX710901	ear
203	ZM	SRX710976	ear
204	ZM	SRX710998	ear
205	SL	SRX2245672	root
206	ZM	SRX151741	leaf
207	OS	SRX3325364	leaf
208	HV	SRX1815079	unknown
209	ZM	SRX2251415	leaf
210	ZM	SRX2593661	endosperm
211	ZM	SRX2593616	embryos
212	ZM	SRX2035811	kernel
213	ZM	SRX3187887	unknown
214	ZM	SRX711243	stem
216	ZM	SRX3187869	unknown
218	SL	SRX1160125	ovule
219	SL	SRX2245696	root
220	SL	SRX2245678	root
221	ZM	SRX710992	ear
222	ZM	SRX2527288	stem
223	ST	SRX1478086	leaf
224	ST	SRX1478112	leaf
225	ZM	SRX339777	embryos
226	ZM	SRX339799	root
227	ZM	SRX711137	leaf
228	ZM	SRX711140	leaf
229	ZM	SRX339793	root
230	OS	SRX2582225	unknown
231	ZM	SRX711047	leaf
232	ZM	SRX711030	ear
233	ZM	SRX2423176	root
234	ST	SRX1478118	leaf
235	OS	SRX1549411	unknown
236	SL	SRX851875	meristem
237	ZM	SRX2251449	leaf
239	ZM	SRX711318	stem
240	ZM	SRX711215	stem
241	ZM	SRX711262	stem
242	ZM	SRX718187	ear
243	ZM	SRX339805	root
244	ZM	SRX710957	ear
245	ZM	SRX710920	ear
246	ZM	SRX711312	stem
247	ZM	SRX711286	stem
248	ZM	SRX711268	stem
249	OS	SRX2458152	root
250	ST	SRX2417170	leaf
251	ZM	SRX2593637	embryos
252	ST	SRX2737151	leaf
253	ZM	SRX2593640	embryos
254	ZM	SRX2251434	leaf
255	OS	SRX219963	root
256	ZM	SRX2251443	leaf
257	SL	SRX328381	unknown
258	ZM	SRX711185	leaf
259	ZM	SRX711011	ear
260	ZM	SRX711066	leaf
261	ZM	SRX711088	leaf
262	HV	SRX2009413	unknown
263	ST	SRX502835	leaf
264	ST	SRX502842	leaf
265	ZM	SRX2425995	kernel
266	HV	SRX3056741	unknown
267	HV	SRX3056736	unknown
268	ZM	SRX711161	leaf
270	ZM	SRX711082	leaf
271	ZM	SRX339756	endosperm
272	OS	SRX3179285	leaf
273	ZM	SRX711250	stem
274	ZM	SRX711227	stem
275	ZM	SRX2574389	unknown
276	ZM	SRX710981	ear
277	ZM	SRX793139	unknown
278	ZM	SRX316713	kernel
279	ZM	SRX710918	ear
280	SL	SRX2245685	root
281	ZM	SRX151758	meristem
282	HV	SRX1815084	unknown
283	ZM	SRX2035808	kernel
285	ST	SRX2737163	leaf
286	ZM	SRX3187870	unknown
287	ZM	SRX711320	stem
288	ST	SRX2239239	root
289	OS	SRX200752	root
290	ZM	SRX316719	endosperm
291	ZM	SRX710912	ear
292	ZM	SRX710965	ear
293	ZM	SRX2527291	stem
295	ZM	SRX339780	kernel
296	ZM	SRX2426002	kernel
297	ZM	SRX539539	root
298	ZM	SRX711054	leaf
299	ZM	SRX711023	ear
300	ZM	SRX711159	leaf
301	OS	SRX2582236	unknown
302	OS	SRX2582241	unknown
303	ZM	SRX539533	root
304	ZM	SRX339764	endosperm
305	ZM	SRX711029	ear
306	SL	SRX3615327	root
307	ZM	SRX711124	leaf
308	ZM	SRX711153	leaf
309	OS	SRX1736753	unknown
310	ST	SRX1478095	leaf
311	ZM	SRX1676939	shoot
312	ST	SRX1478101	leaf
313	ZM	SRX710916	ear
314	ZM	SRX710961	ear
315	ZM	SRX793137	unknown
316	ZM	SRX793140	unknown
317	ZM	SRX2574387	unknown
318	ZM	SRX711229	stem
319	ZM	SRX711324	stem
320	ZM	SRX3187874	unknown
321	ST	SRX2737167	leaf
322	ZM	SRX151756	meristem
324	ZM	SRX503042	leaf
325	SL	SRX2245681	root
327	ZM	SRX710985	ear
328	ZM	SRX3050535	kernel
329	ZM	SRX1122413	seedling
330	ZM	SRX711254	stem
331	ZM	SRX3187890	unknown
332	ST	SRX2239237	root
333	ST	SRX2239240	root
334	ZM	SRX711223	stem
335	ST	SRX1478105	leaf
336	ST	SRX1478091	leaf
337	ZM	SRX711120	leaf
338	SL	SRX3615323	callus
339	OS	SRX2582238	unknown
340	ZM	SRX711157	leaf
341	SL	SRX2563611	fruit
342	ZM	SRX539537	root
343	ZM	SRX339760	pericarp and aleurone
344	ZM	SRX539540	shoot
345	OS	SRX2582232	unknown
346	SL	SRX3615329	root
347	ZM	SRX711050	leaf
348	ZM	SRX711027	ear
349	ZM	SRX339784	leaf
350	ZM	SRX1676940	unknown
351	ZM	SRX2527295	silks
352	SL	SRX328385	unknown
353	ZM	SRX2251430	leaf
354	ZM	SRX2251447	leaf
355	ST	SRX2417174	leaf
356	ZM	SRX2593633	embryos
357	ZM	SRX2593644	embryos
358	ST	SRX2737155	leaf
359	OS	SRX1158855	aleurone layer
360	ZM	SRX711282	stem
361	ZM	SRX711316	stem
362	ZM	SRX710953	ear
363	ZM	SRX339801	root
364	ZM	SRX710924	ear
365	ZM	SRX711211	stem
366	ZM	SRX711266	stem
367	ZM	SRX711288	stem
368	ZM	SRX710959	ear
369	ZM	SRX718189	ear
370	OS	SRX1740214	root
371	SL	SRX3385265	unknown
372	ZM	SRX503007	leaf
373	SL	SRX851871	meristem
374	ZM	SRX2593639	embryos
375	ZM	SRX711165	leaf
377	ZM	SRX711112	leaf
379	HV	SRX3056745	unknown
380	HV	SRX3056732	unknown
381	ZM	SRX2425991	kernel
382	SL	SRX481132	unknown
383	HV	SRX3056738	unknown
384	HV	SRX2009417	unknown
385	ZM	SRX339758	endosperm
386	ZM	SRX711118	leaf
387	ZM	SRX711015	ear
388	ZM	SRX711181	leaf
389	ZM	SRX711062	leaf
390	ZM	SRX710996	ear
391	SL	SRX1160121	ovule
